No	属性名	ルビ	分類	条件1	テーマ
					
1	力場	フォース	攻撃		純粋な魔法のエネルギーで耐性を無視することができる。
2	炎	フレイム	攻撃		炎や熱を操る攻撃的な魔法。範囲が広く、威力も高い
3	氷	フロスト	攻撃		冷気や氷の魔法、凍結効果で相手の速度を低下させたり行動を封じることができるが威力は低め
4	雷	エレクトロ	攻撃		雷や電撃を操る魔法。耐性持ちが多いが貫通効果を持ち前衛と後衛に攻撃できたり、感電させて行動阻害を行ったり使い勝手はいい。
5	毒	ポイズン	攻撃		毒による持続ダメージと酸による腐食ダメージを使い分けられる。腐食ダメージで相手の物理軽減を弱くすることもできる。
6	音	サウンド	攻撃		音波や振動を操る魔法。耐性持ちは少ないが威力が低め。広範囲で防ぎにくい。
7	闇	ダーク	攻撃		暗闇や負の力を操る魔法。ダメージと目くらましを同時に行えるが威力は低め。隠密の効果を高めることもできる。
8	光	ホーリー	攻撃	信仰	光や浄化の力を操る魔法。ダメージと目くらましを同時に行えるが威力は低め。知覚の効果を高めることもできる。
9	風	ウィンド	攻撃		風や嵐を操る魔法。相手を吹き飛ばして行動順を遅らせることができる。飛行している相手には効果がでかい
10	水	ウォーター	攻撃		水や液体を操る魔法。相手を押し流して行動順を遅らせることができる。
11	地	アース	攻撃		大地や岩石を操る魔法。物理ダメージを与えることができる。威力は高いが範囲が狭い
12	回復	ヒール	補助	信仰	傷を直す魔法。範囲回復もあるが効力が落ちる
13	対魔	ディスペル	補助		魔法を封じたり、妨害する魔法。魔法に対する対抗のための魔法が多い。
14	時間	タイム	特殊	魔術	時間を操る魔法。加速、減速、
15	空間	スペース	特殊	魔術	空間を操る魔法。転移による離脱や目的地に瞬時に移動することもできる。また必要な射程を伸ばしたりすることも
16	幻覚	イリュージョン	妨害		視覚や聴覚を惑わせる魔法。回避ボーナスを得れる魔法が多数
17	呪い	カース	妨害		ステータスダメージや疲労など、即死魔法もある。
18	精神	マインド	妨害		支配、恐怖、睡眠など、決まれば一撃で形勢を逆転できるが自分以上のレベル相手には効き目が悪い。
19	物質	マター	補助		鑑定や道具の生成。道中で拠点を生み出して休憩することもできる。武器を強化することもできる。
20	強化	ブースト	補助		ステータス強化、武器の強化も行える。
21	防御	プロテクト	補助		物理・魔法防御の強化、結界など。盾を生み出したりすることも
22	魔術	マジック	補助		魔法体系の基礎。必須の魔法がいくつか入っている
23	信仰	フェイス	補助		神聖な力や祈りを基にした魔法
24	自然	ネイチャー	補助		植物や動物、自然の力を操る魔法




